,precision,recall,f1-score,support
0,0.6705299039355439,0.61196900277165,0.6399124622937244,17679.0
1,0.5004005534920982,0.5637974891277591,0.5302106644031175,12187.0
accuracy,0.5923123284001875,0.5923123284001875,0.5923123284001875,0.5923123284001875
macro avg,0.5854652287138211,0.5878832459497045,0.585061563348421,29866.0
weighted avg,0.6011076045364188,0.5923123284001875,0.5951479872755491,29866.0
