,precision,recall,f1-score,support
0,0.7554374488961569,0.5225974319814469,0.6178073489585074,17679.0
1,0.5214334316171467,0.7545745466480677,0.6167052275089696,12187.0
accuracy,0.6172570816312865,0.6172570816312865,0.6172570816312865,0.6172570816312865
macro avg,0.6384354402566519,0.6385859893147573,0.6172562882337385,29866.0
weighted avg,0.6599507095075781,0.6172570816312865,0.6173576217065984,29866.0
