,precision,recall,f1-score,support
0,0.8717105263157895,0.5995814242887041,0.7104795737122558,17679.0
1,0.6001920253021574,0.8719947485025027,0.7110025758538788,12187.0
accuracy,0.710741311189982,0.710741311189982,0.710741311189982,0.710741311189982
macro avg,0.7359512758089735,0.7357880863956034,0.7107410747830674,29866.0
weighted avg,0.760915777375418,0.710741311189982,0.7106929878654722,29866.0
