,precision,recall,f1-score,support
0,0.8226037195994278,0.6504892810679337,0.72649167693231,17679.0
1,0.6110411683243108,0.7965044719783376,0.6915541623624123,12187.0
accuracy,0.7100716533851202,0.7100716533851202,0.7100716533851202,0.7100716533851202
macro avg,0.7168224439618693,0.7234968765231357,0.7090229196473612,29866.0
weighted avg,0.7362743546898365,0.7100716533851202,0.7122352150672011,29866.0
