,precision,recall,f1-score,support
0,0.7653622505107653,0.5509361389218848,0.6406840980101957,17679.0
1,0.5368144690781796,0.7549848198900467,0.6274763869471818,12187.0
accuracy,0.6341994240942879,0.6341994240942879,0.6341994240942879,0.6341994240942879
macro avg,0.6510883597944725,0.6529604794059658,0.6340802424786887,29866.0
weighted avg,0.6721019608061205,0.6341994240942879,0.6352946124840138,29866.0
