,precision,recall,f1-score,support
0,0.7684008029441285,0.5196560891453137,0.6200101231651763,17679.0
1,0.5258514796203239,0.7727906785919423,0.6258431072864405,12187.0
accuracy,0.622949172972611,0.622949172972611,0.622949172972611,0.622949172972611
macro avg,0.6471261412822262,0.646223383868628,0.6229266152258084,29866.0
weighted avg,0.6694271002940513,0.622949172972611,0.6223903072368916,29866.0
