,precision,recall,f1-score,support
0,0.7948909471168211,0.6019571242717349,0.6850999452795571,17679.0
1,0.5729457458429421,0.7746779355050464,0.658712715855573,12187.0
accuracy,0.6724368847518918,0.6724368847518918,0.6724368847518918,0.6724368847518918
macro avg,0.6839183464798816,0.6883175298883906,0.671906330567565,29866.0
weighted avg,0.7043248797517649,0.6724368847518918,0.6743324784279502,29866.0
